Sessions             Tasks                Variants             Memory(MB)                              
1                    1                    1                    19.83203125                             
1                    1                    10001                89.953125                               
1                    1                    20001                156.34375                               
1                    1                    30001                223.8125                                
1                    1                    40001                290.04296875                            
1                    1                    50001                365.57421875                            
1                    1                    60001                424.08984375                            
1                    1                    70001                490.94921875                            
1                    1                    80001                561.32421875                            
1                    1                    90001                627.03515625                            
1                    10001                1                    20.08203125                             
