variants	tasks	memory
1	1	19.765625
1	101	19.96484375
1	201	19.73828125
1	301	19.6015625
1	401	19.9765625
1	501	19.765625
1	601	19.6796875
1	701	19.56640625
1	801	19.75
1	901	19.93359375
1	1001	19.578125
1	1101	19.71875
1	1201	19.58203125
1	1301	19.57421875
1	1401	19.5390625
1	1501	19.421875
1	1601	19.72265625
1	1701	19.5390625
1	1801	19.48046875
1	1901	20.12109375
1	2001	19.66015625
1	2101	19.65625
1	2201	19.8984375
1	2301	19.77734375
1	2401	20.171875
1	2501	19.8984375
1	2601	19.9140625
1	2701	19.80859375
1	2801	20.19140625
1	2901	20.16015625
1	3001	19.8203125
1	3101	20.0
1	3201	20.1796875
1	3301	19.95703125
1	3401	19.8984375
1	3501	19.7890625
1	3601	19.984375
1	3701	19.96484375
1	3801	19.7109375
1	3901	20.109375
1	4001	19.80859375
1	4101	19.546875
1	4201	19.80078125
1	5000	19.7734375
1	6000	19.82421875
1	7000	19.71484375
1	8000	19.85546875
1	9000	19.99609375
1	10000	20.046875
1	5000	20.375
1	6000	20.38671875
1	7000	20.28515625
1	8000	20.10546875
1	9000	20.49609375
